Codigo,Entidad
11476,"Ministerio de Vivienda, Construcción y Saneamiento (VIVIENDA)"
136,Ministerio de Agricultura y Riego (MINAGRI)
127,Ministerio del Ambiente (MINAM)
138,Ministerio de Comercio Exterior y Turismo (MINCETUR)
77,Ministerio de Cultura (Cultura)
10011,Ministerio de Defensa (MINDEF)
14145,Ministerio de Desarrollo e Inclusión Social (MIDIS)
134,Ministerio de Economía y Finanzas (MEF)
133,Ministerio de Educación (MINEDU)
137,Ministerio de Energía y Minas (MINEM)
132,Ministerio del Interior (MININTER)
131,Ministerio de Justicia y Derechos Humanos (MINJUSDH)
142,Ministerio de la Mujer y Poblaciones Vulnerables (MIMP)
145,Presidencia del Consejo de Ministros (PCM)
139,Ministerio de la Producción (PRODUCE)
140,Ministerio de Relaciones Exteriores (RREE)
143,Ministerio de Salud (MINSA)
141,Ministerio de Trabajo y Promoción del Empleo (MTPE)
144,Ministerio de Transportes y Comunicaciones (MTC)
